date,submit_ts,symbol,qty,intended_px,bid,ask,mid,spread_bps,fill_avg,slip_vs_intended_bps,slip_vs_mid_bps,order_id
2026-06-30,2026-06-30T09:44:15-04:00,SLS,138,14.4,14.41,14.5,14.455,62.3,14.4957,66.5,28.2,18d563b9-9781-41b7-b53c-fb5015f37d3d
2026-06-30,2026-06-30T09:44:15-04:00,ASTS,23,85.7,81.31,89.59,85.45,969.0,85.79,10.5,39.8,cddf9d5f-91d6-49cc-8d02-34c60f4b9a27
2026-06-30,2026-06-30T09:44:15-04:00,CADL,189,10.53,10.58,10.69,10.635,103.4,10.67,133.0,32.9,18723179-418f-4129-a3a1-61f33b4d7edd
2026-07-01,2026-07-01T09:44:06-04:00,META,3,601.79,600.0,602.52,601.26,41.9,601.75,-0.7,8.1,bafcb02e-152b-4caa-b471-c7274f97ad0a
2026-07-01,2026-07-01T09:44:06-04:00,RAM,93,21.41,21.32,21.45,21.385,60.8,21.43,9.3,21.0,f7c6677a-16a8-46b9-a3a0-95beccaee6f2
2026-07-02,2026-07-02T10:36:10-04:00,RDDT,10,191.44,182.6,191.69,187.145,485.7,191.94,26.1,256.2,ff08c7d7-1c2c-4563-a801-735b6f79bf31
2026-07-02,2026-07-02T10:36:10-04:00,OUST,37,52.835,52.5,60.55,56.525,1424.1,53.33,93.7,-565.2,9adef1a6-a0f5-4e11-b70d-026868dfe980
2026-07-06,2026-07-06T09:44:05-04:00,ADP,8,238.97,234.52,255.57,245.045,859.0,239.6,26.4,-222.2,c29cd9c7-df5d-476f-ae3f-a3efa8928dea
2026-07-06,2026-07-06T09:44:05-04:00,WULF,80,24.935,24.92,24.94,24.93,8.0,24.94,2.0,4.0,771d24aa-29a5-4007-a524-fd9adc5201fb
2026-07-06,2026-07-06T09:44:05-04:00,MSTR,20,97.38,92.24,101.89,97.065,994.2,97.623,25.0,57.5,3075aa37-7043-4265-9fbf-ead1ba4e0b42
2026-07-07,2026-07-07T09:44:06-04:00,IBKR,20,95.53,89.68,100.17,94.925,1105.1,95.46,-7.3,56.4,99a5e320-7123-40de-b221-41b8a5153e5a
2026-07-07,2026-07-07T09:44:06-04:00,RIVN,112,17.85,17.84,17.85,17.845,5.6,17.854,2.3,5.1,ac5c6d6f-2dd6-48a1-a8d2-13ba18f4488e
2026-07-07,2026-07-07T09:44:06-04:00,QQQ,2,713.45,712.84,713.61,713.225,10.8,713.275,-2.5,0.7,e3d76685-a29d-493a-826c-6155382a96ef
2026-07-08,2026-07-08T09:44:06-04:00,IGSB,38,52.14,52.13,52.14,52.135,1.9,52.14,0.0,1.0,c710b501-d694-49f1-bf11-f64d9e62ceb7
2026-07-08,2026-07-08T09:44:06-04:00,DPZ,6,303.95,292.03,324.5,308.265,1053.3,304.69,24.3,-116.0,5080fb42-b1ac-4620-9b70-8691715391a4
2026-07-08,2026-07-08T09:44:06-04:00,DTE,13,153.055,143.6,162.43,153.015,1230.6,152.81,-16.0,-13.4,40f715d1-39ae-49ca-8315-5cd7fb85fb89
2026-07-09,2026-07-09T09:44:16-04:00,PENG,23,85.3,80.0,85.97,82.985,719.4,85.58,32.8,312.7,4f035a6f-9719-44b0-b80a-d3b013a4b967
2026-07-09,2026-07-09T09:44:16-04:00,ENVX,363,5.495,5.5,5.51,5.505,18.2,5.51,27.3,9.1,4beca9f3-d817-46e5-bdb6-560bdf1bfc3f
2026-07-09,2026-07-09T09:44:16-04:00,POET,222,8.98,9.01,9.03,9.02,22.2,9.02,44.5,0.0,74ffc998-ff46-45ba-b60e-c1e9ef14c553
2026-07-10,2026-07-10T09:44:16-04:00,OMC,24,82.8,78.18,85.57,81.875,902.6,82.9,12.1,125.2,8fe6ad54-cbab-4666-ab80-b19652f71890
2026-07-10,2026-07-10T09:44:16-04:00,FBRX,51,39.025,33.73,45.47,39.6,2964.6,39.87,216.5,68.2,e10f27d9-9904-44f9-ab60-8d39197b7b0f
2026-07-10,2026-07-10T09:44:16-04:00,OPEN,367,5.435,5.43,5.44,5.435,18.4,5.44,9.2,9.2,e62a6aa4-ef0e-4adb-85f5-a7cb0b1d7ceb
2026-07-13,2026-07-13T09:44:23-04:00,BW,173,11.56,11.47,13.17,12.32,1379.9,11.54,-17.3,-633.1,91d15b02-9dc5-445f-b3a8-51ad608aaf87
2026-07-13,2026-07-13T09:44:23-04:00,SNDK,1,1709.755,1700.0,1738.03,1719.015,221.2,1709.65,-0.6,-54.5,35a52d04-b365-4b10-9e2e-992d188d8247
2026-07-14,2026-07-14T09:44:16-04:00,ELV,4,429.0,402.95,449.63,426.29,1095.0,429.29,6.8,70.4,55c597df-1da9-4640-b1d6-eb23dca0f952
2026-07-14,2026-07-14T09:44:16-04:00,IBM,9,220.885,219.89,229.19,224.54,414.2,220.92,1.6,-161.2,561cc1fa-18b4-4117-9e47-4a59d278f558
2026-07-15,2026-07-15T09:44:18-04:00,D,28,71.15,71.17,71.2,71.185,4.2,71.21,8.4,3.5,6f934fe0-254a-4c7a-a188-a8e00997a3a0
2026-07-16,2026-07-16T09:44:12-04:00,SKHY,12,163.16,162.5,163.25,162.875,46.0,163.045,-7.0,10.4,7af2a334-d9bc-4ce7-a7f5-eb71ad153304
2026-07-16,2026-07-16T09:44:12-04:00,ASTS,34,58.76,58.0,60.0,59.0,339.0,58.85,15.3,-25.4,cab9ddc1-1444-4ddd-82c5-29018e01d9af
2026-07-16,2026-07-16T09:44:12-04:00,ICLR,11,172.0,170.13,173.35,171.74,187.5,173.35,78.5,93.7,2f44072f-2ee2-42af-a39d-b25bf692fddd
2026-07-17,2026-07-17T09:44:11-04:00,XEL,24,81.42,81.39,81.46,81.425,8.6,81.45,3.7,3.1,42a054e3-25ab-4b0b-8560-ead9fc6c506f
2026-07-17,2026-07-17T09:44:11-04:00,PSX,9,204.495,195.14,216.51,205.825,1038.3,204.76,13.0,-51.7,962a8971-5a02-4583-b5a4-f69d19e65f42
2026-07-17,2026-07-17T09:44:11-04:00,NFLX,29,67.01,66.95,66.98,66.965,4.5,66.9866,-3.5,3.2,8bc9b118-5ebb-4d1a-aa77-f177001b7f72
2026-07-20,2026-07-20T09:44:11-04:00,SHEL,23,86.05,86.04,86.06,86.05,2.3,86.0817,3.7,3.7,93ed0b68-e081-4033-9fed-3357eec4e985
2026-07-20,2026-07-20T09:44:11-04:00,PSNL,148,13.45,11.43,13.46,12.445,1631.2,13.46,7.4,815.6,d162018b-ace0-47c8-8cbc-1ba28fa5747b
2026-07-21,2026-07-21T09:44:20-04:00,EA,9,209.16,209.13,209.16,209.145,1.4,209.16,0.0,0.7,fdff9898-9067-4a99-91d7-bfb2f2f01db2
2026-07-21,2026-07-21T09:44:20-04:00,NUAI,364,5.48,5.47,5.5,5.485,54.7,5.4876,13.9,4.8,d0efe01b-2a36-475b-a475-fb1e1a987b12
2026-07-21,2026-07-21T09:44:20-04:00,NBIS,10,195.82,192.0,199.86,195.93,401.2,196.3,24.5,18.9,cdd54552-b57a-4cbc-909d-35f089d9475d
2026-07-22,2026-07-22T09:44:23-04:00,SMCI,65,30.54,30.56,30.58,30.57,6.5,30.57,9.8,0.0,d3452ab7-944a-406c-9f31-801ea3d0b595
2026-07-22,2026-07-22T09:44:23-04:00,MPC,6,325.1,324.64,325.23,324.935,18.2,325.23,4.0,9.1,794d05fc-a698-4b3b-99f4-25ecba38f9b4
2026-07-22,2026-07-22T09:44:23-04:00,ARWR,22,89.07,84.93,94.21,89.57,1036.1,89.06,-1.1,-56.9,36da2e7d-42f5-4645-9d09-281da95951e5
2026-07-23,2026-07-23T09:44:18-04:00,CLF,180,11.11,10.45,11.12,10.785,621.2,11.11,0.0,301.3,23ab1d36-70a1-4f0b-b495-3b15bf2e459d
2026-07-23,2026-07-23T09:44:18-04:00,AMP,3,521.98,495.15,550.86,523.005,1065.2,523.91,37.0,17.3,c887a1b8-af3d-45fb-a7ac-4b2d10f1a5ba
2026-07-27,2026-07-27T09:44:19-04:00,ADSK,9,215.305,202.41,225.75,214.08,1090.2,215.55,11.4,68.7,dc1837a2-188d-4490-8b40-a6fed1755fab
