symbol,entry_date,entry_avg,qty,status,exit_date,exit_avg,exit_reason,sold_qty,open_qty,realized,unrealized,realized_pct,hold_days,combined_score,top_k_of,basket,mfe_pct,mae_pct,post_exit_5d_pct,post_exit_10d_pct,post_exit_20d_pct,sig_ignition,sig_wsb_surge,sig_pm_rvol,sig_gap_pct,sig_squeeze,sig_uoa_z,sig_gtrends_spike,sig_finra_short_ratio
NBIS,2026-06-15,253.55,1.0,closed,2026-06-18,288.51,time_stop,1.0,0.0,34.96,0.0,13.79,3,0.7543,"squeeze,wsb",wsb,17.7,-3.15,-16.68,-26.19,-36.68,1,27.0,0.79,,48.54,,,
SPCL,2026-06-15,50.4344,9.0,closed,2026-06-16,75.6367,trail,9.0,0.0,226.82,0.0,49.97,1,0.7709,,gappers,62.83,-2.82,-47.9,-48.09,-64.73,,,,51.28,,,,
TRV,2026-06-15,307.67,1.0,closed,2026-06-18,306.41,time_stop,1.0,0.0,-1.26,0.0,-0.41,3,0.7976,,random,1.15,-1.94,6.87,10.64,20.25,2,,,,13.9,,,
IP,2026-06-16,37.0093,54.0,closed,2026-06-22,37.3587,time_stop,54.0,0.0,18.87,0.0,0.94,4,0.8115,,random,2.22,-3.12,2.36,1.53,-2.81,2,,,,94.28,,,
SPCX,2026-06-16,212.16,9.0,closed,2026-06-16,201.4311,trail,9.0,0.0,-96.56,0.0,-5.06,0,0.6907,"stocktwits,wsb",wsb,6.32,-8.01,-23.3,-21.72,-34.91,,11.7,0.0,20.22,,,,
WDC,2026-06-16,715.76,2.0,closed,2026-06-22,761.985,time_stop,2.0,0.0,92.45,0.0,6.46,4,0.7232,"squeeze,stocktwits,wsb",wsb,11.69,-6.69,-14.41,-30.15,-28.02,3,40.0,0.0,16.09,41.82,,,
FRMI,2026-06-17,8.8,227.0,closed,2026-06-22,9.3382,trail,227.0,0.0,122.18,0.0,6.12,3,0.669,"ignition,stocktwits",stocktwits,15.17,-8.52,1.2,-21.18,-29.11,3,,,5.2,,,,
LION,2026-06-17,15.2,131.0,closed,2026-06-22,15.2,time_stop,131.0,0.0,0.0,0.0,0.0,3,0.806,ignition,gappers,4.24,-1.32,2.7,-8.36,-11.18,3,,,13.99,,,,
SNAP,2026-06-17,4.83,415.0,closed,2026-06-22,4.64,time_stop,415.0,0.0,-78.85,0.0,-3.93,3,0.7286,"pm_rvol,squeeze,stocktwits,wsb",wsb,3.83,-6.31,-4.85,0.32,-1.62,0,31.0,12.79,-10.84,26.68,,,
BFLY,2026-06-18,7.62,262.0,closed,2026-06-22,8.2578,trail,262.0,0.0,167.11,0.0,8.37,2,0.7496,ignition,gappers,17.32,-10.63,7.96,-8.33,-17.29,2,,,25.84,,,,
BIRD,2026-06-18,5.9301,337.0,closed,2026-06-22,7.12,trail,337.0,0.0,401.01,0.0,20.07,2,0.7994,"ignition,wsb",wsb,30.18,-7.84,-39.61,-50.98,-61.66,3,20.0,,,,,,
SPCX,2026-06-18,178.3991,11.0,closed,2026-06-22,171.0527,trail,11.0,0.0,-80.81,0.0,-4.12,2,0.7231,stocktwits,stocktwits,6.5,-13.68,-4.03,-12.6,-27.82,,,0.72,-6.99,,,,
AUPH,2026-06-22,17.69,113.0,closed,2026-06-25,18.46,time_stop,113.0,0.0,87.01,0.0,4.35,3,0.8078,"ignition,stocktwits",stocktwits,8.82,-3.5,-15.71,-14.46,-16.9,2,,,,,,,
DFTX,2026-06-22,37.67,53.0,closed,2026-06-25,45.08,time_stop,53.0,0.0,392.73,0.0,19.67,3,0.8642,"ignition,stocktwits",stocktwits,24.63,-6.66,-1.91,4.48,-4.3,2,,,65.67,,,,
HQ,2026-06-22,36.3857,70.0,closed,2026-06-22,40.0,trail,70.0,0.0,253.0,0.0,9.93,0,0.6217,ignition,gappers,23.26,-8.44,-41.83,-41.2,-58.05,4,,,43.68,,,,
KEEL,2026-06-22,7.29,274.0,closed,2026-06-22,6.6,trail,274.0,0.0,-189.06,0.0,-9.47,0,0.8228,"ignition,pm_rvol,stocktwits,wsb",wsb,1.03,-9.67,-12.42,-32.8,-29.85,3,25.0,4.34,14.55,,,,
SEZL,2026-06-22,159.8633,12.0,closed,2026-06-24,150.25,time_stop,12.0,0.0,-115.36,0.0,-6.01,2,,,,1.99,-7.49,16.62,18.32,5.81,,,,,,,,
ADI,2026-06-23,416.57,4.0,closed,2026-06-26,397.875,time_stop,4.0,0.0,-74.78,0.0,-4.49,3,0.8305,,random,3.57,-8.05,-2.24,-3.07,-6.49,2,,,,,,,
SOXL,2026-06-23,235.9,8.0,closed,2026-06-23,227.4775,trail,8.0,0.0,-67.38,0.0,-3.57,0,0.7427,ignition,gappers,7.15,-5.38,17.25,-23.12,-29.24,3,,0.4,-12.59,,,,
SPCX,2026-06-23,148.5054,13.0,closed,2026-06-26,148.75,trail,13.0,0.0,3.18,0.0,0.16,3,0.7422,"stocktwits,wsb",wsb,11.44,-0.94,7.98,-6.4,-23.7,,6.9,0.08,-17.08,,,,
MAAS,2026-06-24,19.39,107.0,closed,2026-06-24,16.77,trail,107.0,0.0,-280.34,0.0,-13.51,0,0.8081,ignition,gappers,1.13,-13.05,-9.9,-12.4,-2.68,3,,,16.66,,,,
SLV,2026-06-24,53.27,37.0,closed,2026-06-29,52.72,time_stop,37.0,0.0,-20.35,0.0,-1.03,3,0.7843,"pm_rvol,stocktwits",stocktwits,1.11,-5.56,3.32,0.83,-1.93,1,,3.02,-10.02,,,,
USB,2026-06-24,59.81,33.0,closed,2026-06-29,61.08,time_stop,33.0,0.0,41.91,0.0,2.12,3,0.9672,,random,3.45,-0.12,3.0,1.77,5.5,3,,,,,,,
GLW,2026-06-25,222.36,9.0,closed,2026-06-30,258.7022,time_stop,9.0,0.0,327.08,0.0,16.34,3,0.6567,"ignition,wsb",wsb,22.05,-6.57,-28.86,-32.63,-52.04,2,11.0,1.12,,,,,
JACK,2026-06-25,13.72,146.0,closed,2026-06-30,16.1228,trail,146.0,0.0,350.81,0.0,17.51,3,0.6567,wsb,wsb,25.07,-7.51,-10.65,-5.07,1.84,1,17.0,,,,,,
WEN,2026-06-25,8.9158,224.0,closed,2026-06-25,8.012,trail,224.0,0.0,-202.46,0.0,-10.14,0,0.7686,stocktwits,stocktwits,1.39,-18.96,7.15,-5.64,-12.76,2,,0.05,38.08,,,,
ABBV,2026-06-26,247.08,8.0,closed,2026-07-01,249.39,time_stop,8.0,0.0,18.48,0.0,0.93,3,0.9464,,random,3.59,-0.96,0.16,2.0,3.25,3,,,,,,,
