entry_date,exit_date,symbol,entry_px,exit_px,ret_pct,days,exit_reason
2026-08-07,2026-08-10,MRK,127.07,128.98,1.5,1,bounce
2026-08-12,2026-08-13,MA,559.76,567.34,1.35,1,bounce
2026-08-12,2026-08-14,AAPL,302.2,305.94,1.24,2,bounce
2026-08-13,2026-08-14,GE,360.6,368.3,2.13,1,bounce
2026-08-14,2026-08-19,AMZN,262.64,265.8,1.2,3,bounce
2026-08-20,2026-08-21,GOOGL,340.59,344.75,1.22,1,bounce
2026-08-14,2026-08-21,AVGO,393.02,368.37,-6.27,5,time-stop
2026-08-19,2026-08-21,SBUX,104.94,107.07,2.03,2,bounce
2026-08-20,2026-08-21,GS,1002.5,1039.63,3.7,1,bounce
2026-08-19,2026-08-21,MS,214.25,214.19,-0.02,2,bounce
2026-08-17,2026-08-24,MSFT,480.65,487.32,1.39,5,bounce
2026-08-20,2026-08-24,JPM,351.84,356.42,1.3,2,bounce
2026-08-19,2026-08-24,UNH,388.53,398.86,2.66,3,bounce
2026-08-20,2026-08-25,CSCO,109.57,111.09,1.39,3,bounce
2026-08-20,2026-08-25,GE,344.76,349.51,1.38,3,bounce
2026-08-18,2026-08-25,BA,222.94,211.09,-5.32,5,time-stop
2026-08-19,2026-08-25,C,132.86,133.23,0.28,4,bounce
2026-08-19,2026-08-26,NVDA,217.58,209.77,-3.59,5,time-stop
2026-08-19,2026-08-26,INTC,92.86,88.25,-4.96,5,time-stop
2026-08-19,2026-08-26,WFC,85.94,85.19,-0.88,5,bounce
2026-08-20,2026-08-27,BAC,61.91,61.16,-1.22,5,time-stop
2026-08-21,2026-08-27,TXN,264.28,266.56,0.86,4,bounce
2026-08-27,2026-08-28,AMZN,256.15,266.39,4.0,1,bounce
2026-08-25,2026-08-28,CVX,199.91,201.84,0.97,3,bounce
2026-08-25,2026-08-31,XOM,160.62,161.01,0.24,4,bounce
2026-08-27,2026-09-01,JNJ,265.76,271.3,2.08,3,bounce
2026-08-27,2026-09-01,ABBV,258.14,260.02,0.73,3,bounce
2026-08-26,2026-09-02,LLY,1189.35,1159.72,-2.49,5,time-stop
2026-09-01,2026-09-03,V,372.71,378.7,1.61,2,bounce
2026-08-27,2026-09-03,KO,89.06,88.84,-0.24,5,bounce
2026-09-01,2026-09-03,CAT,779.1,799.92,2.67,2,bounce
2026-09-01,2026-09-03,GS,1001.76,1037.36,3.55,2,bounce
2026-09-01,2026-09-03,MS,211.14,217.15,2.85,2,bounce
2026-09-01,2026-09-04,GE,331.06,337.03,1.8,3,bounce
2026-09-01,2026-09-09,MA,581.29,567.62,-2.35,5,time-stop
2026-09-03,2026-09-09,CSCO,108.68,109.45,0.71,3,bounce
2026-09-08,2026-09-10,ABBV,248.82,255.03,2.49,2,bounce
2026-09-09,2026-09-10,DIS,104.16,105.8,1.58,1,bounce
2026-09-09,2026-09-11,AMZN,252.4,256.8,1.75,2,bounce
2026-09-08,2026-09-11,V,368.86,370.47,0.44,3,bounce
2026-09-03,2026-09-11,LLY,1159.54,1114.83,-3.86,5,time-stop
2026-09-10,2026-09-11,CSCO,107.43,112.19,4.43,1,bounce
2026-09-09,2026-09-11,T,25.16,26.05,3.56,2,bounce
2026-09-10,2026-09-14,MA,565.31,574.36,1.6,2,bounce
2026-09-09,2026-09-14,CRM,244.24,259.31,6.17,3,bounce
2026-09-04,2026-09-14,SBUX,104.42,99.05,-5.14,5,time-stop
2026-09-10,2026-09-15,JNJ,266.36,267.12,0.29,3,bounce
2026-09-08,2026-09-15,PFE,27.8,27.55,-0.92,5,time-stop
2026-09-09,2026-09-16,MRK,147.52,144.91,-1.77,5,bounce
2026-09-16,2026-09-17,AMZN,245.99,251.12,2.09,1,bounce
2026-09-10,2026-09-17,NVDA,218.37,219.4,0.47,5,bounce
2026-09-10,2026-09-17,GE,324.15,313.59,-3.26,5,time-stop
2026-09-16,2026-09-17,PFE,27.48,27.63,0.53,1,bounce
2026-09-11,2026-09-18,UNH,378.87,376.94,-0.51,5,time-stop
